dataset_id,condition_id,relative_source_path,size_bytes,sha256,analysis_role,identity_status
camera-wtt-main-e0_0rpm,e0_0rpm,camera/rosbag/wtt-main/e0_0rpm/e0_0rpm_run1.bag,911209616,d27bfeb421a157bb8fa096faf33a89630d76ef500857a0960424ac01acf321f7,stable_candidate,frozen_sha256
camera-wtt-main-e10_120rpm,e10_120rpm,camera/rosbag/wtt-main/e10_120rpm/e10_120rpm_run1.bag,900898137,32502646c5bc308c2935092cfb8f2d03ad889994cbe064c7ea6e3d26978234e0,stable_candidate,frozen_sha256
camera-wtt-main-e11_140rpm,e11_140rpm,camera/rosbag/wtt-main/e11_140rpm/e11_140rpm_run1.bag,896058807,ebeece0f6f0c2b691da02b53c21b10a14521a50dd4ba85ba4739e42bad60ea7a,stable_candidate,frozen_sha256
camera-wtt-main-e12_160rpm,e12_160rpm,camera/rosbag/wtt-main/e12_160rpm/e12_160rpm_run1.bag,890319069,7aff70db01ad8d424eacdcdc2577c0e08883726b2a46b4170f9f5570b1aa7005,stable_candidate,frozen_sha256
camera-wtt-main-e13_180rpm,e13_180rpm,camera/rosbag/wtt-main/e13_180rpm/e13_180rpm_run1.bag,885766545,2d2d647885ed14d56e39ed803f90878f8a6704efe276490c874378a050fc7587,stable_candidate,frozen_sha256
camera-wtt-main-e14_200rpm,e14_200rpm,camera/rosbag/wtt-main/e14_200rpm/e14_200rpm_run1.bag,886026804,e13f2d3c07df656bbcfbc335a6ea9e3a24e7b6f8e689d5bed459530795434be9,stable_candidate,frozen_sha256
camera-wtt-main-e15_220rpm,e15_220rpm,camera/rosbag/wtt-main/e15_220rpm/e15_220rpm_run1.bag,889776036,14fbeffea48186a7e7b86294303aa14ab7f783d3bc8c6d4a18c65cf2360f3c41,stable_candidate,frozen_sha256
camera-wtt-main-e16_240rpm,e16_240rpm,camera/rosbag/wtt-main/e16_240rpm/e16_240rpm_run1.bag,897837198,578fa74c6c0cd72a21dc6f20cf5b2bc9a018dbab40fca17a225d017bf8c124fc,stable_candidate,frozen_sha256
camera-wtt-main-e17_260rpm,e17_260rpm,camera/rosbag/wtt-main/e17_260rpm/e17_260rpm_run1.bag,899878871,3e4e0eaa9607e62804b062db2fe0bee456c797854899a5455bf9aea499399cd3,stable_candidate,frozen_sha256
camera-wtt-main-e18_280rpm,e18_280rpm,camera/rosbag/wtt-main/e18_280rpm/e18_280rpm_run1.bag,898392911,1fe273a61715325453e29c40ac5451e6445447f1d36a6db2cf48f0e6b6b9fe2f,stable_candidate,frozen_sha256
camera-wtt-main-e19_300rpm,e19_300rpm,camera/rosbag/wtt-main/e19_300rpm/e19_300rpm_run1.bag,898149694,2eee46fc52a800b9987d7dd278f6057e2c28953cf468957448391f2ea196ab5d,stable_candidate,frozen_sha256
camera-wtt-main-e1_20rpm,e1_20rpm,camera/rosbag/wtt-main/e1_20rpm/e1_20rpm_run1.bag,909655510,576037ee20a3d65f1096f15340fcef0908e4b7390b908713cf5a772faf7ec77c,stable_candidate,frozen_sha256
camera-wtt-main-e20_320rpm,e20_320rpm,camera/rosbag/wtt-main/e20_320rpm/e20_320rpm_run1.bag,855649447,6c9579b96a4b72d3735b813e698e893ea95fb2801461e6af67e731ace563365b,high_wind_separate,frozen_sha256
camera-wtt-main-e2_40rpm,e2_40rpm,camera/rosbag/wtt-main/e2_40rpm/e2_40rpm_run1.bag,908491963,f139b3b576c83077ce3f5769c1193a4808f7c71e73a1c322d164b85e910e6367,stable_candidate,frozen_sha256
camera-wtt-main-e3_50rpm,e3_50rpm,camera/rosbag/wtt-main/e3_50rpm/e3_50rpm_run1.bag,909153606,ba6c3ee49aec3575d9da7e8f87e19965decd453d5d9ef545e6784c01a06a2ed6,stable_candidate,frozen_sha256
camera-wtt-main-e4_60rpm,e4_60rpm,camera/rosbag/wtt-main/e4_60rpm/e4_60rpm_run1.bag,906749323,467a3d339a562c5b469d40a43c991c41c43d8d11b3f8c3ea169ab2f1a177e7df,viv_diagnostic,frozen_sha256
camera-wtt-main-e5_70rpm,e5_70rpm,camera/rosbag/wtt-main/e5_70rpm/e5_70rpm_run1.bag,888325571,69d554f3f2497ee97e57ca4dd842dd2f5690c34c7185526045e199a7f8c16b34,stable_candidate,frozen_sha256
camera-wtt-main-e6_80rpm,e6_80rpm,camera/rosbag/wtt-main/e6_80rpm/e6_80rpm_run1.bag,896658165,b62addebde6d735809fb3ba7f1643751075769080596e5046ef1efa40d7201fb,stable_candidate,frozen_sha256
camera-wtt-main-e7_90rpm,e7_90rpm,camera/rosbag/wtt-main/e7_90rpm/e7_90rpm_run1.bag,892719079,e5570ca1548d4b7878d9a08860876397229e15b01a58f662edd7d7095d429bb1,stable_candidate,frozen_sha256
camera-wtt-main-e8_100rpm,e8_100rpm,camera/rosbag/wtt-main/e8_100rpm/e8_100rpm_run1.bag,900616783,e96c2177626232dfdc8990b42537ae1c1f9273c08cf1f65327288c7a463c4b86,stable_candidate,frozen_sha256
camera-wtt-main-e9_110rpm,e9_110rpm,camera/rosbag/wtt-main/e9_110rpm/e9_110rpm_run1.bag,901551048,f1704b4f8038280a40a0bdec84ec5f204345fa6f187eda00311ca9ff829be60f,stable_candidate,frozen_sha256
