observation_id,campaign,session,condition_id,nominal_rpm,instrument,expected_tag_id,physical_location,primary_observable,units,analysis_role,stable_summary,cross_instrument_alignment,planned_admissibility,permitted_use
camera-2025-10-e0_0rpm-cam1,camera-2025-10,principal-camera-wtt,e0_0rpm,0,cam1,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e0_0rpm-cam2,camera-2025-10,principal-camera-wtt,e0_0rpm,0,cam2,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e0_0rpm-cam3,camera-2025-10,principal-camera-wtt,e0_0rpm,0,cam3,0,documented_side_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e1_20rpm-cam1,camera-2025-10,principal-camera-wtt,e1_20rpm,20,cam1,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e1_20rpm-cam2,camera-2025-10,principal-camera-wtt,e1_20rpm,20,cam2,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e1_20rpm-cam3,camera-2025-10,principal-camera-wtt,e1_20rpm,20,cam3,0,documented_side_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e2_40rpm-cam1,camera-2025-10,principal-camera-wtt,e2_40rpm,40,cam1,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e2_40rpm-cam2,camera-2025-10,principal-camera-wtt,e2_40rpm,40,cam2,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e2_40rpm-cam3,camera-2025-10,principal-camera-wtt,e2_40rpm,40,cam3,0,documented_side_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e3_50rpm-cam1,camera-2025-10,principal-camera-wtt,e3_50rpm,50,cam1,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e3_50rpm-cam2,camera-2025-10,principal-camera-wtt,e3_50rpm,50,cam2,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e3_50rpm-cam3,camera-2025-10,principal-camera-wtt,e3_50rpm,50,cam3,0,documented_side_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e4_60rpm-cam1,camera-2025-10,principal-camera-wtt,e4_60rpm,60,cam1,0,documented_center_marker,image_plane_displacement,pixel,viv_onset_diagnostic,False,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e4_60rpm-cam2,camera-2025-10,principal-camera-wtt,e4_60rpm,60,cam2,0,documented_center_marker,image_plane_displacement,pixel,viv_onset_diagnostic,False,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e4_60rpm-cam3,camera-2025-10,principal-camera-wtt,e4_60rpm,60,cam3,0,documented_side_marker,image_plane_displacement,pixel,viv_onset_diagnostic,False,condition_only,pending_measurement,subject_to_measured_admissibility
camera-2025-10-e5_70rpm-cam1,camera-2025-10,principal-camera-wtt,e5_70rpm,70,cam1,0,documented_center_marker,image_plane_displacement,pixel,stable_candidate,True,condition_only,pending_measurement,subject_to_measured_admissibility
