frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming
0,0,947.141447,540.383887,801.599243,684.761292,1090.541748,687.346497,1092.972412,395.720032,804.543884,394.243958,36.7959,0
1,0,946.768029,549.932012,800.3396,692.862488,1089.274536,696.982849,1093.312866,406.887909,804.822571,403.460114,36.4071,0
2,0,946.601182,553.842188,799.694336,695.774109,1088.61377,700.396362,1093.48938,411.928284,804.966858,407.678375,37.0262,0
3,0,946.715817,551.849001,799.784973,693.114929,1088.700439,697.712158,1093.396606,410.823486,804.964355,406.225372,36.9767,0
4,0,947.123546,544.269579,800.801208,685.63208,1089.719116,688.694702,1093.124634,403.217438,804.731445,400.050537,37.2745,0
5,0,947.783538,532.03241,802.392456,673.773804,1091.33728,675.054077,1092.812378,390.644165,804.353699,389.134186,36.8277,0
6,0,948.394184,516.07232,804.108887,658.692322,1093.21167,657.419434,1092.153809,373.971924,803.709473,374.854797,35.7194,0
7,0,949.023277,498.429749,806.06488,642.494385,1095.089966,638.2146,1091.183228,355.169739,802.722107,358.420502,34.4617,0
8,0,949.183703,480.681471,807.944031,626.206787,1096.867554,619.147278,1089.95874,335.634888,801.606323,342.315491,33.8569,0
9,0,949.058228,464.481801,809.143494,611.59259,1098.235718,601.961243,1088.696655,317.66153,800.314758,327.402344,33.8532,0
10,0,949.081119,451.572252,810.378906,600.316528,1099.189697,588.250183,1087.361938,303.279877,799.159424,315.064484,34.2822,0
11,0,948.969029,443.201565,811.171997,593.143738,1099.849976,579.734314,1086.634155,293.402924,798.387634,306.93988,35.1199,0
12,0,948.742857,440.240583,811.418274,591.284851,1100.19043,577.174133,1085.970215,289.303253,797.826416,303.787262,35.0186,0
13,0,948.745177,443.143844,811.324707,594.758362,1100.127686,580.974976,1086.158813,291.536865,798.025085,305.915833,34.769,0
14,0,948.815539,451.799623,810.809204,603.501831,1099.663818,590.868591,1086.863159,300.052032,798.75824,313.459869,34.711,0
15,0,948.86676,465.363725,809.926453,616.450317,1098.794678,606.062866,1088.057739,314.004547,799.804016,325.476501,34.5815,0
16,0,948.758403,482.473679,808.497681,632.520935,1097.380127,625.00946,1089.365845,332.055511,801.047607,340.811523,34.349,0
17,0,948.624401,501.352837,806.790894,650.113525,1095.65625,645.406677,1090.745483,352.290527,802.360657,358.051544,34.8667,0
