frame_idx,tag_id,cx,cy,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y,decision_margin,hamming,area_px2,quality_score,corner_sharpness
0,0,956.640145,575.368743,812.31134,721.982056,1104.984863,721.945679,1100.524536,429.206879,808.619019,429.111542,54.9579,0,85583.6125,16077.7561,31.0165
1,0,959.512034,574.619168,813.264832,720.892944,1107.924072,722.744507,1103.992187,430.112762,812.90271,428.29306,55.0868,0,85695.7278,16126.0176,34.6777
2,0,961.663358,574.913102,815.858887,720.016541,1107.69043,722.985107,1106.808594,430.465729,816.143616,427.35553,55.1556,0,85215.4778,16100.8519,38.343
3,0,962.800796,574.538002,815.922241,719.309998,1110.113281,722.764648,1109.167603,430.270416,815.893738,426.719299,54.7942,0,85927.5096,16062.04,34.0785
4,0,962.223007,573.43805,815.893372,718.59198,1108.394653,721.223877,1107.371338,429.455933,815.902039,425.501251,54.4178,0,85383.3939,15901.119,36.9421
5,0,960.454694,572.496481,813.802002,717.312378,1107.167969,719.962769,1107.099609,427.688263,813.363342,424.650177,54.253,0,85853.6908,15896.5633,37.9917
6,0,957.685955,572.164571,813.275146,717.594788,1104.182861,717.697144,1103.726929,425.092682,809.689819,425.142639,54.3757,0,85556.4063,15904.9068,35.8512
7,0,954.050269,569.46642,809.689575,716.788452,1102.098267,714.957886,1097.839355,422.727722,806.040955,424.01297,55.9213,0,85447.2714,16346.5595,29.9587
8,0,949.938416,568.266881,806.787781,716.454224,1099.103638,712.518555,1092.845581,420.331573,800.663208,423.908844,55.5474,0,85467.0151,16239.1392,31.1942
9,0,946.017489,567.208477,803.781433,716.511841,1096.036621,710.177002,1087.852417,418.326172,795.451355,423.718658,55.1733,0,85502.3611,16133.107,30.3223
10,0,942.053473,565.893517,800.986145,716.418762,1093.651489,708.109802,1082.4198,416.116272,790.768677,423.971069,55.8005,0,85461.3324,16312.59,32.2686
11,0,939.095782,565.133547,798.984436,716.435852,1091.484253,706.272095,1078.699463,414.379456,786.687439,423.976593,56.7995,0,85514.0606,16609.7569,36.6198
12,0,937.229419,564.386372,797.922119,716.243896,1090.320435,705.071289,1076.040283,413.070007,784.247253,423.801483,55.6096,0,85509.8195,16261.3938,31.8554
13,0,936.508299,563.838679,797.565186,715.844238,1089.972412,704.299622,1075.128296,412.186615,783.093811,423.423157,55.7216,0,85573.4858,16300.2096,33.5455
14,0,937.091953,563.345439,798.207764,715.080627,1090.563477,704.134949,1075.776245,411.828644,783.920471,422.831177,56.1739,0,85535.5802,16428.8808,34.0165
