frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
0,0.011470087,-0.0005906,0.00145508,1.73437479,-0.03794635,-0.07582475,-0.00931493,0.99635532,0.25018
1,0.028490223,-0.00057749,0.00197928,1.73435942,-0.03796663,-0.07644759,-0.00960763,0.99630417,0.172058
2,0.047634713,-0.00056251,0.00250149,1.73371974,-0.04054296,-0.0774095,-0.00968871,0.99612759,0.219361
3,0.061520572,-0.00054223,0.00302561,1.73387877,-0.04246504,-0.07578107,-0.00990916,0.99617055,0.143543
4,0.078427457,-0.00052059,0.00351717,1.73357551,-0.04258783,-0.07470036,-0.01000628,0.99624596,0.17737
5,0.095983906,-0.00050458,0.00397577,1.73460555,-0.04242842,-0.07083255,-0.00980616,0.99653721,0.061451
6,0.115943444,-0.00050728,0.00439941,1.73573227,0.04009075,0.06743732,-0.00983501,0.99686921,0.183962
7,0.128201211,-0.00047684,0.00474725,1.73590166,-0.04371916,-0.06629111,-0.00956058,0.99679623,0.042022
8,0.150519832,-0.00046463,0.00505587,1.73746635,-0.03960413,-0.06326177,-0.00963005,0.99716434,0.171867
9,0.161312342,-0.00045787,0.00528334,1.73691895,-0.0469462,-0.0645452,-0.00928933,0.99676661,0.114253
10,0.178582286,-0.00045202,0.00544317,1.74059398,-0.0396057,-0.05688172,-0.00994231,0.99754549,0.226231
11,0.195421905,-0.00044258,0.00550693,1.73985401,-0.05074737,-0.0595855,-0.00912058,0.99689071,0.154456
12,0.211437994,-0.00043843,0.00550603,1.74032517,-0.05187742,-0.05903144,-0.00917846,0.99686498,0.148397
13,0.228662879,-0.00044169,0.00543565,1.74449462,-0.04767174,-0.04814528,-0.00977166,0.99765422,0.195733
14,0.245080983,-0.00044708,0.00526539,1.74319049,-0.05555766,-0.05095085,-0.00903142,0.99711373,0.172274
15,0.261264415,-0.00045473,0.00502717,1.74433661,-0.0548387,-0.04669912,-0.00933383,0.99735891,0.138911
16,0.278320319,-0.00046774,0.00472466,1.74525965,-0.05768901,-0.04207365,-0.00952604,0.99740215,0.07394
17,0.294696016,-0.00048436,0.00436499,1.74452047,-0.06457488,-0.04351973,-0.00934921,0.99691961,0.112262
18,0.312071591,-0.00048436,0.00436499,1.74452047,-0.06457488,-0.04351973,-0.00934921,0.99691961,0.112262
19,0.328362334,-0.00049564,0.00394195,1.74509591,-0.06561273,-0.04278297,-0.00952242,0.99688209,0.113691
20,0.344680442,-0.00051309,0.00348101,1.74519529,-0.06610364,-0.04416629,-0.00965234,0.99678808,0.144699
21,0.361920812,-0.00052936,0.0029868,1.74486702,-0.06802582,-0.04731978,-0.00936549,0.99651674,0.081726
22,0.378403433,-0.00054926,0.00248048,1.7462648,-0.06762561,-0.0462649,-0.00950166,0.99659222,0.019609
23,0.394903717,-0.00056807,0.00194543,1.74727485,-0.06494735,-0.04466927,-0.00953288,0.99684283,0.21281
24,0.411382397,-0.00058608,0.00142691,1.74730505,-0.0642401,-0.04586238,-0.00927981,0.99683687,0.135358
25,0.42825865,-0.00059879,0.00091557,1.74826589,-0.06184913,-0.04149431,-0.009496,0.99717738,0.228347
26,0.444980444,-0.00061001,0.00042752,1.74763009,-0.06004431,-0.04406333,-0.00936919,0.99717868,0.311374
27,0.461662172,-0.00062205,-2.332e-05,1.74695139,-0.0594401,-0.04497063,-0.00905004,0.99717732,0.289753
28,0.478436024,-0.00062771,-0.00042328,1.74545627,-0.06069963,-0.04870761,-0.00895917,0.99692671,0.209886
29,0.495150643,-0.00063008,-0.00076905,1.74554106,-0.05317774,-0.04794888,-0.00942051,0.99738873,0.261429
30,0.511802553,-0.00063479,-0.00105953,1.74493849,-0.05440389,-0.04904381,-0.00924679,0.99727099,0.307232
31,0.528335913,-0.00063949,-0.00126973,1.74400385,-0.05056535,-0.05100613,-0.0094408,0.99737274,0.200023
32,0.545027387,-0.00064178,-0.00140658,1.74171004,-0.04926038,-0.05700087,-0.00927477,0.99711499,0.16465
33,0.561782509,-0.00064645,-0.00146687,1.74179576,-0.04632755,-0.05629242,-0.00944906,0.99729416,0.168766
34,0.578504256,-0.00064626,-0.00144647,1.74031759,-0.04502357,-0.05934414,-0.00943994,0.99717703,0.174887
