t_s,x_w,y_w,z_w,qx,qy,qz,qw
0.013147211,-0.000859155,0.000520144,1.779152659,-0.01490534,0.033330165,0.00619321,0.999314052
0.029813878,-0.000880125,0.000891235,1.782513833,-0.040047657,0.015203663,0.007906329,0.999050811
0.046480544,-0.000882611,0.000849604,1.783526202,-0.062421272,0.006027414,0.008240162,0.997997673
0.063147211,-0.000862234,0.000419238,1.783833904,-0.078675885,0.005348777,0.006439789,0.996865099
0.079813878,-0.000823499,-0.000331729,1.783808959,-0.089786402,0.003587358,0.003519867,0.995948364
0.096480544,-0.000781925,-0.001384632,1.783466776,-0.098605209,0.002792463,-0.000541833,0.995122566
0.113147211,-0.00074773,-0.002568672,1.783422776,-0.100682722,0.001402132,-0.005226481,0.994903868
0.129813878,-0.000723021,-0.003774586,1.783664872,-0.098919594,0.001614833,-0.010334383,0.995040455
0.146480544,-0.000716746,-0.004889845,1.782945926,-0.095312135,0.003529082,-0.015041589,0.995327531
0.163147211,-0.000720736,-0.005879403,1.783303321,-0.086122659,0.0038258,-0.019346612,0.996089333
0.179813878,-0.000722834,-0.006558903,1.783403141,-0.073069829,0.004882522,-0.022378067,0.997063781
0.196480544,-0.00073125,-0.006836812,1.783178242,-0.055333718,0.005711328,-0.024052241,0.998161836
0.213147211,-0.000731606,-0.006732278,1.782486631,-0.027782963,0.01376618,-0.024060801,0.999229542
0.229813878,-0.000725447,-0.006220142,1.777621264,-0.011888403,0.038132113,-0.02240468,0.998950769
0.246480544,-0.00071721,-0.005392595,1.77184978,-0.006404606,0.056577191,-0.019347615,0.998190198
0.263147211,-0.00071744,-0.004315385,1.767180328,-0.004136899,0.067739432,-0.015093138,0.997580299
0.279813878,-0.000727877,-0.002995339,1.764862267,-0.005097534,0.073015176,-0.009859592,0.997269065
0.296480544,-0.000751143,-0.001665358,1.765416237,-0.00827196,0.071539336,-0.004568928,0.997393013
0.313147211,-0.00078873,-0.000498876,1.768047399,-0.008079561,0.065966373,0.000447845,0.997789035
0.329813878,-0.00082702,0.000425198,1.774117835,-0.007558541,0.050612731,0.004371295,0.998680185
0.346480544,-0.000857742,0.001071434,1.78089424,-0.021429696,0.02583253,0.006947284,0.999412419
0.363147211,-0.000871348,0.001312609,1.783314924,-0.046755691,0.006854929,0.008070247,0.998850232
0.379813878,-0.000862774,0.001137049,1.783785868,-0.0678744,0.004164448,0.007477987,0.997657157
0.396480544,-0.000836204,0.000566912,1.783794038,-0.083194273,0.002709411,0.005405908,0.996515002
0.413147211,-0.000802327,-0.000292948,1.783650143,-0.093639557,0.004247433,0.0018108,0.995595457
0.429813878,-0.000762171,-0.001403462,1.783597899,-0.09931982,0.002665584,-0.002478199,0.995048907
0.446480544,-0.000730024,-0.00271313,1.783570288,-0.101705704,0.002249435,-0.007569081,0.994783192
0.463147211,-0.000715326,-0.003963438,1.783406755,-0.099537207,0.002252551,-0.012441572,0.994953505
0.479813878,-0.000712628,-0.005094115,1.783517152,-0.094012564,0.00354702,-0.016943802,0.995420496
0.496480544,-0.000717227,-0.006012445,1.783317447,-0.084839524,0.003981567,-0.020705298,0.996171518
0.513147211,-0.000725458,-0.006500548,1.783153134,-0.074570779,0.004917937,-0.022705445,0.996945072
0.529813878,-0.000732485,-0.006794706,1.783109396,-0.060848153,0.006576351,-0.023914882,0.997838831
0.546480544,-0.000731208,-0.006741798,1.782071614,-0.032713453,0.017280164,-0.023790614,0.999032148
0.563147211,-0.000724292,-0.006131027,1.776994138,-0.011658384,0.041807807,-0.021202694,0.998832636
0.579813878,-0.000716424,-0.005256001,1.771371836,-0.008360331,0.058164938,-0.017663938,0.99811569
0.596480544,-0.000719248,-0.004170358,1.767302136,-0.007381053,0.06712112,-0.012956422,0.997633403
0.613147211,-0.000739578,-0.002938389,1.76617871,-0.006715635,0.069722479,-0.007471579,0.99751584
0.629813878,-0.000765832,-0.001981067,1.767329508,-0.00754204,0.067699092,-0.003218268,0.997672087
0.646480544,-0.000809791,-0.00089561,1.771667228,-0.007026188,0.05761884,0.001712257,0.998312461
0.663147211,-0.000859057,-2.5112e-05,1.778381298,-0.015022409,0.037424962,0.005590301,0.99917088
0.679813878,-0.00088635,0.000381421,1.782326953,-0.036192342,0.01674987,0.00766416,0.999175068
0.696480544,-0.000890091,0.000403272,1.783540618,-0.059474703,0.007523504,0.008141585,0.998168258
0.713147211,-0.000875835,3.5283e-05,1.783657259,-0.075924384,0.003272059,0.006949875,0.997083989
0.729813878,-0.000842474,-0.000687771,1.783855862,-0.087758298,0.002116162,0.004243186,0.996130513
0.746480544,-0.000804564,-0.001598788,1.783872382,-0.09525612,0.002575298,0.000469309,0.995449355
0.763147211,-0.000772391,-0.002518007,1.783651368,-0.098856932,0.002151105,-0.003396758,0.995093534
0.779813878,-0.00074242,-0.003693801,1.78342465,-0.099516052,0.00164111,-0.008365438,0.994999438
0.796480544,-0.000720455,-0.005183623,1.783357126,-0.094785232,0.002988354,-0.014837925,0.995382673
0.813147211,-0.000718533,-0.006168516,1.783211374,-0.086370279,0.004547146,-0.019271487,0.996066317
0.829813878,-0.000722933,-0.006791067,1.783262167,-0.074791973,0.004020136,-0.022190654,0.996944118
0.846480544,-0.000727488,-0.007140082,1.783493806,-0.05598075,0.005750551,-0.024128334,0.998123695
0.863147211,-0.000729477,-0.007065668,1.78303851,-0.02622102,0.01206039,-0.024467124,0.999283926
0.879813878,-0.000728617,-0.006566622,1.777944232,-0.00948291,0.037104893,-0.023057725,0.999000322
0.896480544,-0.00072228,-0.0056926,1.77158169,-0.005551189,0.057468111,-0.019917137,0.998133212
0.913147211,-0.00072007,-0.004581482,1.766784591,-0.003714153,0.068357018,-0.015517875,0.997533317
0.929813878,-0.000729071,-0.003260436,1.764044358,-0.005365518,0.074273361,-0.010258376,0.99717072
0.946480544,-0.000752511,-0.001919085,1.76425778,-0.006510066,0.073546925,-0.00480097,0.997258953
0.963147211,-0.000785857,-0.000828858,1.767840995,-0.008327417,0.066711923,-0.000181448,0.997737511
0.979813878,-0.000831184,0.000215261,1.773991023,-0.008904944,0.051634306,0.00419472,0.998617547
0.996480544,-0.000859473,0.000785492,1.779375394,-0.016437144,0.030007993,0.00666813,0.999392254
1.013147211,-0.000878368,0.001115374,1.783076711,-0.035288291,0.011372949,0.008207809,0.999278752
1.029813878,-0.000880575,0.001010664,1.78387859,-0.06754273,0.006138715,0.008086846,0.997664723
1.046480544,-0.000850896,0.000438547,1.78398318,-0.083918831,0.004055758,0.005904139,0.996446848
1.063147211,-0.000807437,-0.000453437,1.783748676,-0.093436207,0.003185176,0.002459038,0.995617137
1.079813878,-0.000766053,-0.001585095,1.783690991,-0.100287518,0.003015933,-0.002062006,0.994951791
1.096480544,-0.000733411,-0.002860132,1.783478225,-0.102256224,0.003100645,-0.0071609,0.994727486
1.113147211,-0.000716759,-0.004116859,1.783367075,-0.10005358,0.002818168,-0.0120843,0.994904673
