t_s,x_w_mm,y_w_mm,z_w_mm,qx,qy,qz,qw,x_w_mean_m,y_w_mean_m,z_w_mean_m
0.020034548,-0.003358,-0.028782,0.993127,-0.03871876,-0.05674919,-0.01021321,0.997585123,-0.000583082,0.002077202,1.742290673
0.036701215,-0.005215,-0.032659,1.210243,-0.039054565,-0.056199697,-0.010153593,0.997603749,-0.000583082,0.002077202,1.742290673
0.053367881,-0.005872,-0.039369,0.948277,-0.039507899,-0.056999506,-0.010131783,0.997540741,-0.000583082,0.002077202,1.742290673
0.070034548,-0.005467,-0.043629,0.677194,-0.03984208,-0.057535402,-0.010129598,0.997496705,-0.000583082,0.002077202,1.742290673
0.086701215,-0.005115,-0.044293,0.690388,-0.03987232,-0.057422896,-0.010123448,0.997502043,-0.000583082,0.002077202,1.742290673
0.103367881,-0.004692,-0.045941,0.697156,-0.040344465,-0.057295883,-0.010130901,0.997490286,-0.000583082,0.002077202,1.742290673
0.120034548,-0.004532,-0.048228,0.708795,-0.040158389,-0.057015792,-0.010120809,0.997513946,-0.000583082,0.002077202,1.742290673
0.136701215,-0.005035,-0.050052,0.681849,-0.040252771,-0.057389747,-0.01012158,0.997488689,-0.000583082,0.002077202,1.742290673
0.153367881,-0.006164,-0.048028,0.524571,-0.039870903,-0.05748253,-0.010073752,0.997499168,-0.000583082,0.002077202,1.742290673
0.170034548,-0.006882,-0.040605,0.760809,-0.0389554,-0.057167115,-0.010151562,0.997552677,-0.000583082,0.002077202,1.742290673
0.186701215,-0.005526,-0.034047,0.945731,-0.039615274,-0.057002107,-0.010100994,0.997536646,-0.000583082,0.002077202,1.742290673
0.203367881,-0.004521,-0.034437,0.756854,-0.039889031,-0.057170986,-0.010125951,0.997515819,-0.000583082,0.002077202,1.742290673
0.220034548,-0.002217,-0.034836,0.721335,-0.039691064,-0.057500294,-0.010126217,0.997504785,-0.000583082,0.002077202,1.742290673
0.236701215,-0.001398,-0.028598,0.597186,-0.039916556,-0.057914377,-0.010121314,0.997471881,-0.000583082,0.002077202,1.742290673
0.253367881,-0.001363,-0.017698,0.740638,-0.039876834,-0.05779537,-0.010095688,0.997480632,-0.000583082,0.002077202,1.742290673
0.270034548,-0.003005,-0.007573,0.725406,-0.039893906,-0.057939442,-0.01000989,0.997472455,-0.000583082,0.002077202,1.742290673
0.286701215,-0.004826,-0.001341,0.603533,-0.04070344,-0.058063596,-0.00994985,0.99743313,-0.000583082,0.002077202,1.742290673
0.303367881,-0.005195,0.000615,0.650502,-0.041190874,-0.057847616,-0.009886706,0.997426297,-0.000583082,0.002077202,1.742290673
0.320034548,-0.003553,1.9e-05,0.44187,-0.04178038,-0.058369315,-0.009875378,0.997371495,-0.000583082,0.002077202,1.742290673
0.336701215,-0.002369,-0.000382,0.425802,-0.041526575,-0.058663816,-0.0099063,0.99736451,-0.000583082,0.002077202,1.742290673
0.353367881,-0.002046,0.00291,0.395613,-0.041581436,-0.058892092,-0.009879559,0.997349036,-0.000583082,0.002077202,1.742290673
0.370034548,-0.001327,0.010986,-0.034017,-0.04336737,-0.059677726,-0.009863112,0.997226433,-0.000583082,0.002077202,1.742290673
0.386701215,-0.001532,0.017869,-0.355213,-0.044940752,-0.06006845,-0.00975391,0.99713438,-0.000583082,0.002077202,1.742290673
0.403367881,-0.002748,0.018009,-0.380643,-0.045477415,-0.05994488,-0.009681846,0.997118187,-0.000583082,0.002077202,1.742290673
0.420034548,-0.003131,0.016028,-0.193716,-0.044423272,-0.059611691,-0.009757619,0.997184942,-0.000583082,0.002077202,1.742290673
0.436701215,-0.00156,0.015063,-0.35965,-0.044193926,-0.060049063,-0.009807948,0.997168397,-0.000583082,0.002077202,1.742290673
0.453367881,0.000158,0.01539,-0.487092,-0.044889489,-0.060212853,-0.009784117,0.997127683,-0.000583082,0.002077202,1.742290673
0.470034548,0.000692,0.016316,-0.461161,-0.045172814,-0.05981355,-0.009734035,0.997139411,-0.000583082,0.002077202,1.742290673
0.486701215,0.000647,0.016091,-0.377941,-0.044391204,-0.060031132,-0.009756409,0.997161219,-0.000583082,0.002077202,1.742290673
0.503367881,0.000168,0.017477,-0.519794,-0.044735365,-0.060362244,-0.00973333,0.997126075,-0.000583082,0.002077202,1.742290673
0.520034548,-0.000136,0.017923,-0.35962,-0.044781779,-0.060031795,-0.009721039,0.99714406,-0.000583082,0.002077202,1.742290673
0.536701215,-4.1e-05,0.01602,-0.21383,-0.044067867,-0.059690149,-0.009762848,0.997195967,-0.000583082,0.002077202,1.742290673
0.553367881,6.1e-05,0.012237,-0.124227,-0.043739719,-0.059558852,-0.009783808,0.997218059,-0.000583082,0.002077202,1.742290673
0.570034548,0.000129,0.007939,-0.168552,-0.044319506,-0.059827548,-0.009816413,0.997176055,-0.000583082,0.002077202,1.742290673
0.586701215,0.001467,0.008199,-0.249907,-0.044597079,-0.060052864,-0.009833879,0.997149963,-0.000583082,0.002077202,1.742290673
0.603367881,0.002752,0.009644,-0.087168,-0.04395738,-0.059679558,-0.00985204,0.9972006,-0.000583082,0.002077202,1.742290673
0.620034548,0.002366,0.008007,-0.054409,-0.042910607,-0.059707833,-0.009841309,0.997244605,-0.000583082,0.002077202,1.742290673
0.636701215,0.000929,0.004348,0.113175,-0.042446563,-0.059343777,-0.0098556,0.997286054,-0.000583082,0.002077202,1.742290673
0.653367881,0.000252,0.00271,0.49608,-0.041857976,-0.058362382,-0.009899953,0.997368404,-0.000583082,0.002077202,1.742290673
0.670034548,-0.000282,0.000735,0.178929,-0.043084746,-0.058691711,-0.009882745,0.997297006,-0.000583082,0.002077202,1.742290673
0.686701215,-0.00078,4.7e-05,0.292034,-0.042763976,-0.058565861,-0.009882205,0.997318216,-0.000583082,0.002077202,1.742290673
0.703367881,-0.001127,-0.000906,0.324511,-0.042234707,-0.058616827,-0.009934353,0.997337258,-0.000583082,0.002077202,1.742290673
0.720034548,-0.000571,-0.00375,0.313025,-0.041963963,-0.05864801,-0.010027637,0.99734592,-0.000583082,0.002077202,1.742290673
0.736701215,-0.000625,-0.006149,0.489736,-0.04127361,-0.058345692,-0.010085331,0.997391877,-0.000583082,0.002077202,1.742290673
0.753367881,-0.000537,-0.00855,0.427148,-0.041454205,-0.058492937,-0.010113303,0.997375479,-0.000583082,0.002077202,1.742290673
0.770034548,-0.000517,-0.012293,0.417633,-0.041404038,-0.058665179,-0.010108189,0.997367498,-0.000583082,0.002077202,1.742290673
0.786701215,-0.0009,-0.014034,0.37167,-0.040837663,-0.058587828,-0.010092125,0.997395559,-0.000583082,0.002077202,1.742290673
0.803367881,-0.001515,-0.013892,0.466417,-0.040746913,-0.057892832,-0.010114792,0.997439622,-0.000583082,0.002077202,1.742290673
0.820034548,0.000182,-0.016004,0.655114,-0.040450195,-0.057642326,-0.010169273,0.997465653,-0.000583082,0.002077202,1.742290673
0.836701215,0.002415,-0.022461,0.778534,-0.039988838,-0.057711748,-0.010202961,0.997479898,-0.000583082,0.002077202,1.742290673
0.853367881,0.001902,-0.028204,0.686549,-0.03970818,-0.057616897,-0.010208335,0.997496538,-0.000583082,0.002077202,1.742290673
0.870034548,0.001428,-0.029819,0.625164,-0.040030993,-0.057828915,-0.010159187,0.997471868,-0.000583082,0.002077202,1.742290673
0.886701215,0.002221,-0.02706,0.638434,-0.04009663,-0.058098137,-0.010168925,0.997453488,-0.000583082,0.002077202,1.742290673
0.903367881,0.002174,-0.024647,0.908356,-0.03945588,-0.057496969,-0.010138227,0.997514185,-0.000583082,0.002077202,1.742290673
0.920034548,0.001465,-0.02478,0.944947,-0.038895507,-0.057236287,-0.010129907,0.997551268,-0.000583082,0.002077202,1.742290673
0.936701215,-0.000594,-0.024569,0.877657,-0.038830425,-0.057360441,-0.010151696,0.997546451,-0.000583082,0.002077202,1.742290673
0.953367881,-0.00109,-0.027231,0.858197,-0.039691248,-0.057191863,-0.010170311,0.99752206,-0.000583082,0.002077202,1.742290673
0.970034548,-0.001234,-0.031302,0.713043,-0.040184036,-0.05724907,-0.010169278,0.997499059,-0.000583082,0.002077202,1.742290673
0.986701215,-0.002466,-0.029434,0.604065,-0.039349224,-0.057688691,-0.010138718,0.997507323,-0.000583082,0.002077202,1.742290673
1.003367881,-0.002876,-0.02419,0.692963,-0.039312423,-0.057463294,-0.010117692,0.997521998,-0.000583082,0.002077202,1.742290673
1.020034548,-0.002737,-0.020846,0.701374,-0.039764868,-0.057099116,-0.01010183,0.997525137,-0.000583082,0.002077202,1.742290673
1.036701215,-0.003634,-0.015957,0.517892,-0.03996265,-0.057668644,-0.010096495,0.997484524,-0.000583082,0.002077202,1.742290673
1.053367881,-0.004299,-0.010506,0.468356,-0.040155419,-0.058192432,-0.010096224,0.997446364,-0.000583082,0.002077202,1.742290673
1.070034548,-0.003518,-0.007765,0.462465,-0.040154077,-0.05830177,-0.010086484,0.997440132,-0.000583082,0.002077202,1.742290673
1.086701215,-0.002345,-0.006634,0.382158,-0.041053215,-0.058396571,-0.010027503,0.997398578,-0.000583082,0.002077202,1.742290673
1.103367881,-0.001466,-0.005208,0.093874,-0.041803772,-0.059049368,-0.010006151,0.99732918,-0.000583082,0.002077202,1.742290673
1.120034548,3e-06,-0.002356,-0.057974,-0.041454461,-0.059413973,-0.009961805,0.997322551,-0.000583082,0.002077202,1.742290673
1.136701215,-0.00042,0.003516,-0.250909,-0.042655139,-0.059941653,-0.009910805,0.99724085,-0.000583082,0.002077202,1.742290673
1.153367881,-0.000893,0.008786,-0.019726,-0.043547635,-0.059343726,-0.009793077,0.9972392,-0.000583082,0.002077202,1.742290673
1.170034548,-0.000579,0.01241,-0.173474,-0.043857029,-0.059824575,-0.009755104,0.997197282,-0.000583082,0.002077202,1.742290673
1.186701215,-0.00051,0.017802,-0.415104,-0.044199987,-0.06020214,-0.009673728,0.997160209,-0.000583082,0.002077202,1.742290673
1.203367881,-0.000417,0.019974,-0.613289,-0.045204406,-0.060240012,-0.00961459,0.997113465,-0.000583082,0.002077202,1.742290673
1.220034548,-0.00015,0.020884,-0.628339,-0.045725826,-0.060439941,-0.009631826,0.997077424,-0.000583082,0.002077202,1.742290673
1.236701215,-0.000126,0.020171,-0.648838,-0.045827614,-0.060681692,-0.00962896,0.997058095,-0.000583082,0.002077202,1.742290673
1.253367881,0.000397,0.018748,-0.584557,-0.045551982,-0.060596947,-0.009657007,0.997075609,-0.000583082,0.002077202,1.742290673
1.270034548,-4e-05,0.01895,-0.372726,-0.045285071,-0.060228951,-0.009703792,0.997109609,-0.000583082,0.002077202,1.742290673
1.286701215,-0.000415,0.019053,-0.41199,-0.045224155,-0.060409247,-0.009698773,0.997101516,-0.000583082,0.002077202,1.742290673
1.303367881,-0.000818,0.017717,-0.417247,-0.045095418,-0.060685307,-0.009667863,0.997090883,-0.000583082,0.002077202,1.742290673
1.320034548,-0.000911,0.016334,-0.329101,-0.045255643,-0.060475766,-0.00967057,0.997096329,-0.000583082,0.002077202,1.742290673
1.336701215,-0.000857,0.014295,-0.217344,-0.045014433,-0.059805139,-0.009737092,0.997147048,-0.000583082,0.002077202,1.742290673
1.353367881,-0.001804,0.010916,-0.181652,-0.043987839,-0.059964373,-0.009783317,0.997182847,-0.000583082,0.002077202,1.742290673
1.370034548,-0.002098,0.009368,0.003207,-0.04307979,-0.05983365,-0.00983904,0.997229793,-0.000583082,0.002077202,1.742290673
1.386701215,-0.001979,0.00889,0.048601,-0.042927614,-0.059696763,-0.009828142,0.997244666,-0.000583082,0.002077202,1.742290673
1.403367881,-0.001746,0.005943,0.181304,-0.042402379,-0.059282257,-0.009879674,0.997291354,-0.000583082,0.002077202,1.742290673
1.420034548,-0.001422,0.003175,0.195142,-0.042121336,-0.059186324,-0.009918771,0.997308573,-0.000583082,0.002077202,1.742290673
1.436701215,-0.000923,0.001058,0.079634,-0.04272298,-0.059325951,-0.009890918,0.997274961,-0.000583082,0.002077202,1.742290673
1.453367881,-0.000221,-0.004326,0.248561,-0.042303804,-0.05881571,-0.009987172,0.997322093,-0.000583082,0.002077202,1.742290673
1.470034548,8.8e-05,-0.008337,0.469988,-0.040819757,-0.058360805,-0.01007895,0.997409735,-0.000583082,0.002077202,1.742290673
1.486701215,-0.000894,-0.011175,0.485091,-0.04065268,-0.058296328,-0.010107812,0.997420037,-0.000583082,0.002077202,1.742290673
1.503367881,-0.000718,-0.013749,0.419913,-0.04108127,-0.058324006,-0.010111283,0.997400823,-0.000583082,0.002077202,1.742290673
