t_s,bending_avg_y_mm,torsion_diff_y_mm
0.00186972,2.830564,-2.694808
0.018536387,3.388264,-3.283503
0.035203053,3.566322,-3.529142
0.05186972,3.394802,-3.396176
0.068536387,2.918316,-2.97316
0.085203053,2.163138,-2.227496
0.10186972,1.234336,-1.291468
0.118536387,0.188352,-0.20599
0.135203053,-0.821222,0.876889
0.15186972,-1.679905,1.822006
0.168536387,-2.373586,2.644774
0.185203053,-2.77475,3.188291
0.20186972,-2.857426,3.411218
0.218536387,-2.62427,3.300522
0.235203053,-2.056457,2.821503
0.25186972,-1.272402,2.07991
0.268536387,-0.346192,1.138101
0.285203053,0.631788,0.096245
0.30186972,1.527954,-0.890693
0.318536387,2.282591,-1.78888
0.335203053,2.771721,-2.46909
0.35186972,2.9671,-2.87824
0.368536387,2.835486,-2.95216
0.385203053,2.396416,-2.73016
0.40186972,1.66847,-2.208577
0.418536387,0.72998,-1.431618
0.435203053,-0.332777,-0.493692
0.45186972,-1.403268,0.504508
0.468536387,-2.199954,1.257549
0.485203053,-3.039734,2.130354
0.50186972,-3.630446,2.81771
0.518536387,-3.825013,3.140011
0.535203053,-3.705094,3.16729
0.55186972,-3.234658,2.847658
0.568536387,-2.464653,2.250312
0.585203053,-1.483209,1.399681
0.60186972,-0.371841,0.377547
0.618536387,0.756489,-0.73023
0.635203053,1.756244,-1.720052
0.65186972,2.522568,-2.494148
0.668536387,3.172892,-3.173459
0.685203053,3.42053,-3.462745
0.70186972,3.328158,-3.445874
0.718536387,2.905715,-3.067341
0.735203053,2.214216,-2.380319
0.75186972,1.318089,-1.478567
0.768536387,0.362692,-0.483407
0.785203053,-0.480574,0.424884
0.80186972,-1.37438,1.437526
0.818536387,-2.187316,2.399907
0.835203053,-2.610371,2.974167
0.85186972,-2.715852,3.245247
0.868536387,-2.49759,3.191422
0.885203053,-1.964423,2.795888
0.90186972,-1.209419,2.126684
0.918536387,-0.258592,1.193582
0.935203053,0.741202,0.164954
0.95186972,1.699052,-0.847328
0.968536387,2.387486,-1.631124
0.985203053,2.9207,-2.322855
1.00186972,3.281436,-2.86651
1.018536387,3.27915,-3.010534
1.035203053,2.861494,-2.758888
1.05186972,2.161217,-2.267226
1.068536387,1.189218,-1.480204
1.085203053,0.090794,-0.534767
1.10186972,-1.009813,0.41704
1.118536387,-2.14582,1.47018
