condition,channel,dominant_peak_hz,nearest_ref_bin_hz,f_ref_target_hz,snr_db,low_snr,peak_power,noise_floor_power,n_frames,bin_spacing_hz
e0_0rpm,bending,9.30131,1.441048,1.43,27.9038,False,9.123e-05,1.5e-07,1832,0.032751
e0_0rpm,torsion_proxy,9.268559,3.111354,3.103,23.9814,False,5.279e-05,2.1e-07,1832,0.032751
e10_120rpm,bending,2.919628,1.443412,1.43,47.2888,False,0.24689383,4.61e-06,1829,0.032805
e10_120rpm,torsion_proxy,2.919628,3.116457,3.103,43.8071,False,0.15497899,6.45e-06,1829,0.032805
e11_140rpm,bending,3.045852,1.441048,1.43,58.4347,False,36.25015218,5.198e-05,1832,0.032751
e11_140rpm,torsion_proxy,3.045852,3.111354,3.103,57.2471,False,32.97668233,6.216e-05,1832,0.032751
e12_160rpm,bending,3.047515,1.441835,1.43,57.4158,False,84.36449089,0.00015296,1831,0.032769
e12_160rpm,torsion_proxy,3.047515,3.113053,3.103,57.761,False,80.20884484,0.00013431,1831,0.032769
e13_180rpm,bending,3.052516,1.444201,1.43,60.0408,False,129.46347039,0.00012825,1828,0.032823
e13_180rpm,torsion_proxy,3.052516,3.118162,3.103,59.9252,False,125.01600891,0.00012719,1828,0.032823
e14_200rpm,bending,3.050847,1.443412,1.43,59.8156,False,140.37467098,0.00014646,1829,0.032805
e14_200rpm,torsion_proxy,3.050847,3.116457,3.103,60.0952,False,136.26932609,0.00013331,1829,0.032805
e15_220rpm,bending,3.085339,1.444201,1.43,60.4012,False,64.39307706,5.871e-05,1828,0.032823
e15_220rpm,torsion_proxy,3.085339,3.118162,3.103,58.1814,False,61.42786029,9.337e-05,1828,0.032823
e16_240rpm,bending,1.411379,1.444201,1.43,48.7491,False,2.69317042,3.592e-05,1828,0.032823
e16_240rpm,torsion_proxy,1.411379,3.118162,3.103,38.6573,False,0.81589994,0.00011115,1828,0.032823
e17_260rpm,bending,1.408297,1.441048,1.43,51.2981,False,5.88328483,4.363e-05,1832,0.032751
e17_260rpm,torsion_proxy,1.408297,3.111354,3.103,42.1351,False,1.86767072,0.00011423,1832,0.032751
e18_280rpm,bending,1.409836,1.442623,1.43,54.3503,False,12.56884354,4.616e-05,1830,0.032787
e18_280rpm,torsion_proxy,1.409836,3.114754,3.103,43.0053,False,4.66466582,0.0002335,1830,0.032787
e19_300rpm,bending,1.409066,1.441835,1.43,50.3293,False,13.6111957,0.00012617,1831,0.032769
e19_300rpm,torsion_proxy,1.409066,3.113053,3.103,41.0707,False,3.69563823,0.00028881,1831,0.032769
e1_20rpm,bending,9.114754,1.442623,1.43,28.0105,False,9.266e-05,1.5e-07,1830,0.032787
e1_20rpm,torsion_proxy,9.114754,3.114754,3.103,26.5162,False,9.423e-05,2.1e-07,1830,0.032787
e20_320rpm,bending,2.932455,1.416804,1.43,57.092,False,1805.57702668,0.00352709,1821,0.032949
e20_320rpm,torsion_proxy,2.932455,3.097199,3.103,57.4462,False,2265.95654113,0.00407977,1821,0.032949
e2_40rpm,bending,1.443412,1.443412,1.43,32.7508,False,0.00074937,4e-07,1829,0.032805
e2_40rpm,torsion_proxy,9.119738,3.116457,3.103,19.9099,False,3.125e-05,3.2e-07,1829,0.032805
e3_50rpm,bending,1.442623,1.442623,1.43,39.7952,False,0.00459701,4.8e-07,1830,0.032787
e3_50rpm,torsion_proxy,3.147541,3.114754,3.103,25.0168,False,0.00023938,7.5e-07,1830,0.032787
e4_60rpm,bending,1.377049,1.442623,1.43,52.3012,False,0.12840434,7.6e-07,1830,0.032787
e4_60rpm,torsion_proxy,3.114754,3.114754,3.103,22.7564,False,0.00035323,1.87e-06,1830,0.032787
e5_70rpm,bending,1.443412,1.443412,1.43,70.157,False,195.19417391,1.883e-05,1829,0.032805
e5_70rpm,torsion_proxy,1.443412,3.116457,3.103,37.0719,False,0.46508479,9.127e-05,1829,0.032805
e6_80rpm,bending,1.47541,1.442623,1.43,64.8555,False,34.27587094,1.121e-05,1830,0.032787
e6_80rpm,torsion_proxy,3.114754,3.114754,3.103,37.1548,False,0.18044634,3.474e-05,1830,0.032787
e7_90rpm,bending,3.116457,1.443412,1.43,61.3029,False,52.6001998,3.897e-05,1829,0.032805
e7_90rpm,torsion_proxy,3.116457,3.116457,3.103,61.7131,False,53.16800812,3.584e-05,1829,0.032805
e8_100rpm,bending,3.147541,1.442623,1.43,52.8997,False,0.7470198,3.83e-06,1830,0.032787
e8_100rpm,torsion_proxy,3.147541,3.114754,3.103,51.7129,False,0.79869602,5.38e-06,1830,0.032787
e9_110rpm,bending,2.262295,1.442623,1.43,46.2867,False,0.17115285,4.02e-06,1830,0.032787
e9_110rpm,torsion_proxy,2.655738,3.114754,3.103,37.2775,False,0.03044389,5.7e-06,1830,0.032787
