condition,channel,n_samples,block_length,rms_estimate_mm,ci_lo_mm,ci_hi_mm,ci_width_mm,relative_ci_width,is_stable,is_high_wind,is_near_floor,n_bootstrap_resamples
e0_0rpm,bending_avg_y_mm,1832,42,0.003801,0.00251,0.005116,0.002606,0.6856,False,False,True,1000
e0_0rpm,torsion_diff_y_mm,1832,42,0.005173,0.003782,0.006692,0.00291,0.5625,False,False,True,1000
e1_20rpm,bending_avg_y_mm,1830,42,0.004356,0.003059,0.005645,0.002586,0.5937,True,False,True,1000
e1_20rpm,torsion_diff_y_mm,1830,42,0.007042,0.004418,0.009405,0.004987,0.7081,True,False,True,1000
e2_40rpm,bending_avg_y_mm,1829,42,0.009357,0.008101,0.010508,0.002408,0.2573,True,False,False,1000
e2_40rpm,torsion_diff_y_mm,1829,42,0.006005,0.004972,0.00685,0.001878,0.3127,True,False,False,1000
e3_50rpm,bending_avg_y_mm,1830,42,0.023002,0.019791,0.025926,0.006136,0.2667,True,False,False,1000
e3_50rpm,torsion_diff_y_mm,1830,42,0.0074,0.006208,0.008696,0.002488,0.3362,True,False,False,1000
e4_60rpm,bending_avg_y_mm,1830,42,0.085515,0.078246,0.093674,0.015428,0.1804,True,False,False,1000
e4_60rpm,torsion_diff_y_mm,1830,42,0.010858,0.009409,0.011958,0.002549,0.2348,True,False,False,1000
e5_70rpm,bending_avg_y_mm,1829,42,3.078883,3.003483,3.152555,0.149072,0.0484,True,False,False,1000
e5_70rpm,torsion_diff_y_mm,1829,42,0.202881,0.174641,0.232267,0.057626,0.284,True,False,False,1000
e6_80rpm,bending_avg_y_mm,1830,42,1.394776,1.280099,1.502374,0.222276,0.1594,True,False,False,1000
e6_80rpm,torsion_diff_y_mm,1830,42,0.144634,0.130282,0.15619,0.025908,0.1791,True,False,False,1000
e7_90rpm,bending_avg_y_mm,1829,42,0.809456,0.801305,0.818634,0.017329,0.0214,True,False,False,1000
e7_90rpm,torsion_diff_y_mm,1829,42,1.62492,1.611026,1.636827,0.025801,0.0159,True,False,False,1000
e8_100rpm,bending_avg_y_mm,1830,42,0.160413,0.149574,0.172718,0.023145,0.1443,True,False,False,1000
e8_100rpm,torsion_diff_y_mm,1830,42,0.219308,0.203021,0.234681,0.03166,0.1444,True,False,False,1000
e9_110rpm,bending_avg_y_mm,1830,42,0.16021,0.147421,0.173763,0.026342,0.1644,True,False,False,1000
e9_110rpm,torsion_diff_y_mm,1830,42,0.067513,0.061492,0.074776,0.013284,0.1968,True,False,False,1000
e10_120rpm,bending_avg_y_mm,1829,42,0.185452,0.170884,0.200054,0.02917,0.1573,True,False,False,1000
e10_120rpm,torsion_diff_y_mm,1829,42,0.159528,0.140845,0.174784,0.033939,0.2127,True,False,False,1000
e11_140rpm,bending_avg_y_mm,1832,42,0.753583,0.739929,0.768895,0.028966,0.0384,True,False,False,1000
e11_140rpm,torsion_diff_y_mm,1832,42,1.340861,1.32924,1.356829,0.027589,0.0206,True,False,False,1000
e12_160rpm,bending_avg_y_mm,1831,42,1.222159,1.206095,1.235115,0.02902,0.0237,True,False,False,1000
e12_160rpm,torsion_diff_y_mm,1831,42,2.270664,2.251537,2.288408,0.036871,0.0162,True,False,False,1000
e13_180rpm,bending_avg_y_mm,1828,42,1.438763,1.419278,1.458272,0.038994,0.0271,True,False,False,1000
e13_180rpm,torsion_diff_y_mm,1828,42,2.693303,2.674455,2.715365,0.04091,0.0152,True,False,False,1000
e14_200rpm,bending_avg_y_mm,1829,42,1.484313,1.465408,1.501191,0.035783,0.0241,True,False,False,1000
e14_200rpm,torsion_diff_y_mm,1829,42,2.80624,2.78299,2.829935,0.046944,0.0167,True,False,False,1000
e15_220rpm,bending_avg_y_mm,1828,42,1.138863,1.104286,1.170833,0.066547,0.0584,True,False,False,1000
e15_220rpm,torsion_diff_y_mm,1828,42,2.00641,1.957728,2.053632,0.095904,0.0478,True,False,False,1000
e16_240rpm,bending_avg_y_mm,1828,42,0.675971,0.572525,0.782733,0.210208,0.311,True,False,False,1000
e16_240rpm,torsion_diff_y_mm,1828,42,0.445946,0.38344,0.499586,0.116146,0.2604,True,False,False,1000
e17_260rpm,bending_avg_y_mm,1832,42,0.797307,0.729373,0.86378,0.134407,0.1686,True,False,False,1000
e17_260rpm,torsion_diff_y_mm,1832,42,0.508699,0.464327,0.555601,0.091273,0.1794,True,False,False,1000
e18_280rpm,bending_avg_y_mm,1830,42,1.029572,0.893553,1.179616,0.286062,0.2778,True,False,False,1000
e18_280rpm,torsion_diff_y_mm,1830,42,0.689388,0.603424,0.787154,0.183729,0.2665,True,False,False,1000
e19_300rpm,bending_avg_y_mm,1831,42,1.167728,1.019945,1.30007,0.280125,0.2399,True,False,False,1000
e19_300rpm,torsion_diff_y_mm,1831,42,0.73389,0.653749,0.79657,0.142821,0.1946,True,False,False,1000
e20_320rpm,bending_avg_y_mm,1821,42,4.461866,4.397676,4.500806,0.10313,0.0231,False,True,False,1000
e20_320rpm,torsion_diff_y_mm,1821,42,11.124852,11.035299,11.182941,0.147642,0.0133,False,True,False,1000
