condition,pair,max_nn_drift_ms,mean_nn_drift_ms,status
e0_0rpm,cam1-cam2,,,MISSING_DATA
e0_0rpm,cam1-cam3,,,MISSING_DATA
e0_0rpm,cam2-cam3,,,MISSING_DATA
e1_20rpm,cam1-cam2,,,MISSING_DATA
e1_20rpm,cam1-cam3,,,MISSING_DATA
e1_20rpm,cam2-cam3,,,MISSING_DATA
e2_40rpm,cam1-cam2,,,MISSING_DATA
e2_40rpm,cam1-cam3,,,MISSING_DATA
e2_40rpm,cam2-cam3,,,MISSING_DATA
e3_50rpm,cam1-cam2,,,MISSING_DATA
e3_50rpm,cam1-cam3,,,MISSING_DATA
e3_50rpm,cam2-cam3,,,MISSING_DATA
e4_60rpm,cam1-cam2,,,MISSING_DATA
e4_60rpm,cam1-cam3,,,MISSING_DATA
e4_60rpm,cam2-cam3,,,MISSING_DATA
e5_70rpm,cam1-cam2,,,MISSING_DATA
e5_70rpm,cam1-cam3,,,MISSING_DATA
e5_70rpm,cam2-cam3,,,MISSING_DATA
e6_80rpm,cam1-cam2,,,MISSING_DATA
e6_80rpm,cam1-cam3,,,MISSING_DATA
e6_80rpm,cam2-cam3,,,MISSING_DATA
e7_90rpm,cam1-cam2,,,MISSING_DATA
e7_90rpm,cam1-cam3,,,MISSING_DATA
e7_90rpm,cam2-cam3,,,MISSING_DATA
e8_100rpm,cam1-cam2,,,MISSING_DATA
e8_100rpm,cam1-cam3,,,MISSING_DATA
e8_100rpm,cam2-cam3,,,MISSING_DATA
e9_110rpm,cam1-cam2,,,MISSING_DATA
e9_110rpm,cam1-cam3,,,MISSING_DATA
e9_110rpm,cam2-cam3,,,MISSING_DATA
e10_120rpm,cam1-cam2,,,MISSING_DATA
e10_120rpm,cam1-cam3,,,MISSING_DATA
e10_120rpm,cam2-cam3,,,MISSING_DATA
e11_140rpm,cam1-cam2,,,MISSING_DATA
e11_140rpm,cam1-cam3,,,MISSING_DATA
e11_140rpm,cam2-cam3,,,MISSING_DATA
e12_160rpm,cam1-cam2,,,MISSING_DATA
e12_160rpm,cam1-cam3,,,MISSING_DATA
e12_160rpm,cam2-cam3,,,MISSING_DATA
e13_180rpm,cam1-cam2,,,MISSING_DATA
e13_180rpm,cam1-cam3,,,MISSING_DATA
e13_180rpm,cam2-cam3,,,MISSING_DATA
e14_200rpm,cam1-cam2,,,MISSING_DATA
e14_200rpm,cam1-cam3,,,MISSING_DATA
e14_200rpm,cam2-cam3,,,MISSING_DATA
e15_220rpm,cam1-cam2,,,MISSING_DATA
e15_220rpm,cam1-cam3,,,MISSING_DATA
e15_220rpm,cam2-cam3,,,MISSING_DATA
e16_240rpm,cam1-cam2,,,MISSING_DATA
e16_240rpm,cam1-cam3,,,MISSING_DATA
e16_240rpm,cam2-cam3,,,MISSING_DATA
e17_260rpm,cam1-cam2,,,MISSING_DATA
e17_260rpm,cam1-cam3,,,MISSING_DATA
e17_260rpm,cam2-cam3,,,MISSING_DATA
e18_280rpm,cam1-cam2,,,MISSING_DATA
e18_280rpm,cam1-cam3,,,MISSING_DATA
e18_280rpm,cam2-cam3,,,MISSING_DATA
e19_300rpm,cam1-cam2,,,MISSING_DATA
e19_300rpm,cam1-cam3,,,MISSING_DATA
e19_300rpm,cam2-cam3,,,MISSING_DATA
e20_320rpm,cam1-cam2,,,MISSING_DATA
e20_320rpm,cam1-cam3,,,MISSING_DATA
e20_320rpm,cam2-cam3,,,MISSING_DATA
