wtt_condition,rpm,flag,camera_bending_rms_mm,camera_torsion_rms_mm,camera_n_frames,ldv_bending_rms_mm_corrected,ldv_torsion_rms_mm_corrected,ldv_bending_mean_mm_corrected,ldv_torsion_mean_mm_corrected,ldv_n_samples,ldv_duration_s,bending_ratio_cam_over_ldv,torsion_ratio_cam_over_ldv
e1_20rpm,20,,0.007420,0.007042,1830,0.111928,0.265675,0.000911,0.001203,7200,20.000000,0.066294,0.026508
e2_40rpm,40,,0.010660,0.006005,1829,0.111829,0.266974,-0.000300,-0.011876,7200,20.000000,0.095325,0.022494
e3_50rpm,50,,0.023472,0.007400,1830,0.113692,0.270154,0.000137,-0.001097,7200,20.000000,0.206454,0.027391
e4_60rpm,60,VIV_outlier,0.085581,0.010858,1830,1.766057,0.290961,-0.084922,0.089039,7200,20.000000,0.048459,0.037319
e5_70rpm,70,,3.075798,0.202881,1829,2.908050,0.307351,-0.076227,0.208205,7200,20.000000,1.057684,0.660096
e6_80rpm,80,,1.400958,0.144634,1830,0.620090,2.047051,-0.071017,0.133310,7200,20.000000,2.259281,0.070655
e7_90rpm,90,,1.618618,1.624920,1829,0.747894,2.249512,-0.028078,0.150106,7200,20.000000,2.164235,0.722343
e8_100rpm,100,,0.245963,0.219308,1830,0.163574,0.322766,-0.002128,0.109791,7200,20.000000,1.503676,0.679463
e9_110rpm,110,,0.174732,0.067513,1830,0.169617,0.270361,0.080148,0.074950,7200,20.000000,1.030150,0.249716
e10_120rpm,120,,0.243147,0.159528,1829,0.208798,0.350861,0.059131,0.121386,7200,20.000000,1.164510,0.454677
e11_140rpm,140,,1.414774,1.340861,1832,0.753716,2.128665,0.123687,0.091121,7200,20.000000,1.877065,0.629907
e12_160rpm,160,,2.344960,2.270664,1831,1.088972,3.146621,0.212660,0.029894,7200,20.000000,2.153370,0.721620
e13_180rpm,180,,2.762872,2.693303,1828,1.277137,4.107903,0.271003,-0.051161,7200,20.000000,2.163332,0.655639
e14_200rpm,200,,2.862849,2.806240,1829,1.359272,4.350142,0.269708,-0.050168,7200,20.000000,2.106164,0.645092
e15_220rpm,220,,2.087210,2.006410,1828,0.942419,2.644329,0.156191,0.144996,7200,20.000000,2.214738,0.758759
e16_240rpm,240,,0.735734,0.445946,1828,0.749610,0.420910,0.182200,0.069165,7200,20.000000,0.981488,1.059480
e17_260rpm,260,,0.848914,0.508699,1832,1.009763,0.478649,0.096347,0.033027,7200,20.000000,0.840706,1.062782
e18_280rpm,280,,1.102839,0.689388,1830,1.120074,0.413686,0.212859,0.030306,7200,20.000000,0.984613,1.666452
e19_300rpm,300,,1.245681,0.733890,1831,1.005472,1.108346,0.275905,0.118466,7200,20.000000,1.238902,0.662149
e20_320rpm,320,high_wind_unstable,9.842997,11.124852,1821,3.575017,17.366246,1.647751,0.287890,7200,20.000000,2.753272,0.640602
