t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
0.005528,0.849184,0.270993,0.846794,0.272919
0.022195,0.707071,0.330432,0.707259,0.329178
0.038862,0.551916,0.375464,0.551210,0.377154
0.055528,0.371809,0.454492,0.372036,0.454660
0.072195,0.190665,0.531432,0.191276,0.531107
0.088862,0.022667,0.586434,0.021858,0.585468
0.105528,-0.150498,0.599278,-0.150132,0.598685
0.122195,-0.300482,0.575342,-0.300791,0.573691
0.138862,-0.431720,0.502326,-0.430836,0.504091
0.155528,-0.517976,0.449552,-0.516789,0.451566
0.172195,-0.553945,0.424312,-0.554870,0.423003
0.188862,-0.580904,0.364148,-0.581346,0.363204
0.205528,-0.594456,0.272403,-0.593351,0.272515
0.222195,-0.570915,0.169957,-0.571301,0.169438
0.238862,-0.541400,0.052845,-0.541630,0.052490
0.255528,-0.508330,-0.065972,-0.508192,-0.065218
0.272195,-0.470006,-0.156322,-0.469934,-0.156134
0.288862,-0.432147,-0.220680,-0.432163,-0.219674
0.305528,-0.400865,-0.241842,-0.401237,-0.241983
0.322195,-0.385931,-0.241968,-0.386322,-0.242212
0.338862,-0.388508,-0.227250,-0.388694,-0.226338
0.355528,-0.402845,-0.184050,-0.402806,-0.183642
0.372195,-0.420657,-0.130835,-0.420820,-0.131980
0.388862,-0.440087,-0.104433,-0.440089,-0.105401
0.405528,-0.452168,-0.106371,-0.452107,-0.106012
0.422195,-0.449788,-0.113164,-0.449425,-0.112363
0.438862,-0.422725,-0.116479,-0.422634,-0.116854
0.455528,-0.373328,-0.138994,-0.372739,-0.138746
0.472195,-0.292452,-0.172709,-0.293191,-0.173137
0.488862,-0.204339,-0.231820,-0.204270,-0.232314
0.505528,-0.094152,-0.317933,-0.094308,-0.317046
0.522195,0.034337,-0.403719,0.036097,-0.406523
0.538862,0.213110,-0.548318,0.211898,-0.546162
0.555528,0.383873,-0.653089,0.384164,-0.654082
0.572195,0.566857,-0.763183,0.567159,-0.762463
0.588862,0.755371,-0.838592,0.755326,-0.838423
0.605528,0.935842,-0.881775,0.935774,-0.882252
0.622195,1.099728,-0.897834,1.099701,-0.897166
0.638862,1.240470,-0.860558,1.239773,-0.861177
0.655528,1.340718,-0.787843,1.341061,-0.786753
0.672195,1.415194,-0.647342,1.415377,-0.646200
0.688862,1.457876,-0.442304,1.457376,-0.442332
0.705528,1.454128,-0.204388,1.453878,-0.204238
0.722195,1.407888,0.053485,1.407610,0.054291
0.738862,1.321130,0.324907,1.321005,0.323119
0.755528,1.201689,0.547487,1.201586,0.547025
0.772195,1.056227,0.735960,1.056804,0.734234
0.788862,0.903302,0.866144,0.902585,0.869302
0.805528,0.725370,1.024905,0.726503,1.024300
0.822195,0.559054,1.141077,0.559023,1.140105
0.838862,0.384690,1.201693,0.384541,1.202072
0.855528,0.199416,1.225632,0.199428,1.225422
0.872195,0.005394,1.201039,0.004814,1.199620
0.888862,-0.206601,1.109584,-0.206663,1.109590
0.905528,-0.423492,0.985234,-0.423601,0.985273
0.922195,-0.640492,0.840146,-0.640187,0.841081
0.938862,-0.844226,0.700119,-0.844272,0.700569
0.955528,-1.035402,0.561985,-1.035576,0.561572
0.972195,-1.210974,0.413069,-1.210854,0.412705
0.988862,-1.361529,0.255193,-1.360231,0.257312
1.005528,-1.462745,0.135082,-1.465340,0.129828
1.022195,-1.580123,-0.072022,-1.578592,-0.068357
1.038862,-1.634443,-0.196494,-1.634454,-0.196467
1.055528,-1.648042,-0.295451,-1.647398,-0.293967
1.072195,-1.607154,-0.344597,-1.607356,-0.344006
1.088862,-1.528079,-0.371094,-1.528093,-0.372346
1.105528,-1.409575,-0.421768,-1.409658,-0.421867
1.122195,-1.254904,-0.486989,-1.254787,-0.488231
1.138862,-1.062357,-0.590300,-1.062307,-0.591535
1.155528,-0.835828,-0.725470,-0.835297,-0.725274
1.172195,-0.571508,-0.853639,-0.571315,-0.853417
1.188862,-0.283455,-0.958966,-0.282918,-0.957713
1.205528,0.022836,-1.012106,0.022779,-1.011220
1.222195,0.322860,-1.016519,0.322278,-1.016460
1.238862,0.594012,-0.990289,0.593470,-0.990912
1.255528,0.827450,-0.951195,0.827001,-0.951097
1.272195,1.020159,-0.890152,1.020128,-0.891044
1.288862,1.178426,-0.825312,1.178720,-0.824868
1.305528,1.308227,-0.731386,1.307944,-0.730924
1.322195,1.399249,-0.608645,1.399671,-0.607140
1.338862,1.464206,-0.443790,1.463166,-0.445200
1.355528,1.479108,-0.297403,1.478917,-0.297466
1.372195,1.464154,-0.153618,1.464659,-0.153299
1.388862,1.438385,-0.010879,1.438556,-0.012080
1.405528,1.401602,0.102269,1.401701,0.102150
1.422195,1.355867,0.206937,1.356218,0.207593
1.438862,1.306430,0.320023,1.306721,0.320371
1.455528,1.250394,0.436731,1.250441,0.437291
1.472195,1.179931,0.557138,1.179341,0.557057
1.488862,1.080402,0.662909,1.080507,0.662671
1.505528,0.962593,0.744400,0.962369,0.743423
1.522195,0.820852,0.784989,0.820811,0.784762
1.538862,0.659793,0.799644,0.659905,0.799560
1.555528,0.484025,0.795984,0.483841,0.796454
1.572195,0.290725,0.789113,0.290592,0.789585
1.588862,0.084044,0.780986,0.084013,0.781751
1.605528,-0.129961,0.772601,-0.130005,0.773720
1.622195,-0.345836,0.761936,-0.346488,0.758445
1.638862,-0.567178,0.661460,-0.566598,0.661294
1.655528,-0.763061,0.533910,-0.763801,0.534590
1.672195,-0.947141,0.405227,-0.946369,0.404948
1.688862,-1.083518,0.269758,-1.082885,0.271364
1.705528,-1.168991,0.167402,-1.168853,0.167550
1.722195,-1.210510,0.071945,-1.210755,0.072237
1.738862,-1.215980,-0.018927,-1.215376,-0.019703
1.755528,-1.172480,-0.129314,-1.173104,-0.130097
1.772195,-1.103845,-0.259702,-1.104094,-0.260358
1.788862,-1.004535,-0.402638,-1.003774,-0.401694
