Condition,RPM,Flag,Cam_Bending_RMS_mm,LDV_Bending_RMS_mm,Bending_Ratio,Cam_Torsion_RMS_mm,LDV_Torsion_RMS_mm,Torsion_Ratio
e1_20rpm,20,,0.0044,0.0266,0.1640,0.0070,0.1073,0.0656
e2_40rpm,40,,0.0094,0.0268,0.3488,0.0060,0.1077,0.0558
e3_50rpm,50,,0.0230,0.0303,0.7579,0.0074,0.1072,0.0690
e4_60rpm,60,,0.0855,0.0492,1.7376,0.0109,0.1096,0.0990
e5_70rpm,70,,3.0789,2.7583,1.1162,0.2029,0.2242,0.9049
e6_80rpm,80,,1.3948,1.4766,0.9446,0.1446,0.2715,0.5326
e7_90rpm,90,,0.8095,0.5814,1.3923,1.6249,2.1557,0.7538
e8_100rpm,100,,0.1604,0.3147,0.5097,0.2193,1.1941,0.1837
e9_110rpm,110,,0.1602,0.1687,0.9498,0.0675,0.1278,0.5283
e10_120rpm,120,,0.1855,0.1339,1.3846,0.1595,0.1271,1.2548
e11_140rpm,140,,0.7536,0.3595,2.0963,1.3409,1.1278,1.1889
e12_160rpm,160,,1.2222,0.7386,1.6547,2.2707,2.6377,0.8609
e13_180rpm,180,,1.4388,0.9578,1.5022,2.6933,3.6688,0.7341
e14_200rpm,200,,1.4843,0.9389,1.5809,2.8062,3.9059,0.7185
e15_220rpm,220,,1.1389,0.7186,1.5849,2.0064,3.0101,0.6666
e16_240rpm,240,,0.6760,0.7561,0.8940,0.4459,0.2807,1.5887
e17_260rpm,260,,0.7973,0.6756,1.1802,0.5087,0.3332,1.5266
e18_280rpm,280,,1.0296,0.7856,1.3105,0.6894,0.4289,1.6072
e19_300rpm,300,,1.1677,0.8469,1.3788,0.7339,0.8137,0.9019
e20_320rpm,320,high_wind_unstable,4.4619,2.6277,1.6980,11.1249,17.0761,0.6515
